name_ar,name_en,location_lat,location_long
الخطاطبة,Khatatbah,30.3585804,30.81878739999999
بني سلامة,Beni Salamah,30.3195343,30.8344153
وردان,Werdan,30.29122,30.88349149999999
ابو غالب,Abo Ghaleb,30.2732276,30.9075408
الجزيرة الوسطانية,Gezira wastanih,30.2311619,30.9534344
القطا البلد,Qata B,30.2071047,30.9802159
القطا,Qata,31.0453964,31.3882888
برقاش,Birqash,30.16907639999999,31.02665229999999
نكلا,Niklah,30.172264,31.0513236
ذات الكوم,Zat Kom,30.1671464,31.0725575
المناشي,Manashi,30.178713,31.1024865
الجلاتمة,Gelatmah,30.1744541,31.1145684
برطس,Bartas,30.1506253,31.1425579
اوسيم,Ossim,30.130608,31.163173
الكوم الاحمر,Kom Ahmar,30.1076745,31.1843115
بشتيل البلد,Bashtil B,30.0859996,31.1834728
جامعة الزقازيق,Zagazig University,30.5825893,31.5020755
الطيرية,Tairyyah,31.1935097,29.9064885
25 يناير,25 Jan,30.5739918,32.2769157
برج العرب ج,Burj Arab N,30.8557724,29.54191449999999
كفر بني هلال,Kafr Beni Helal,31.0390582,30.503265
نفرة,Nefrah,31.0562258,30.5307025
الفتح,Fath,31.1034936,30.6059659
جماجمون,Gmagmun,31.1154562,30.6903807
كفر الجزاير,Kafr Gazayer,31.1095836,30.9393033
عزبة جودة,Ezbet Godah,31.0264787,30.8753506
حوين,Hwin,24.0998701,32.902257
الابراهيمية,Ibrahimiah,31.214698,29.9264725
شبشير الحصة,Shebshir Hessah,30.8596528,31.0720689
الرجدية,Ragdiah,30.8306816,31.04739
الحناوي,Henawi,29.8942953,31.2703259
المنشأة الصغرى,Monshaah Soghra,26.5225267,31.7448032
الحميدية,Hamidiyyah,31.2189328,29.9424796
رزقة أماي,Rezqet Amay,31.0865656,30.9200817
دقميرة,Duqmayrah,31.1768839,31.0210753
السلام,Salam,31.1966908,31.0390069
الكركات,Karykat,31.1867519,31.118755
كوم الحجنة,Kom Hajnah,31.17374229999999,31.13115
ميت الكرما,Mit Korma,31.0434508,31.3305898
كفر العرب,Kafr Arab,31.022614,31.3073847
ميت خلف,Mit Khalaf,30.7188795,31.2605518
الراهبين,Rahbayn,30.9724446,31.212544
محلة ابو على القنطرة,Mahallat Abo Ali Qantara,30.9745325,31.1959068
غزل المحلة,Ghazl Mahalla,30.9689908,31.1687061
منشية البكري,Manshyt Bakry,30.9519738,31.1521518
منية شنتا عياش,Minyat Shentena Ayash,,
صفط تراب,Saft Turab,30.904126,31.1107083
بساتين كفر البطيخ,Basatin Kafr Battikh,31.4050582,31.7381575
كفر البطيخ,Kafr Battikh,31.4050582,31.7381575
التوفيقية البلد,Tawfiqiah B,30.8161827,30.7480033
كفر سعد البلد,Kafr Saad B,31.3193105,31.656042
السوالم,Swalem,,
الصبرية,Sabreyah,,
السعادوه,Saadwa,24.4074176,32.9249059
كفر الدبوسي,Kafr Dabbusi,31.1841305,31.504441
كفر الحطبه,Kafr Hatabah,31.1825118,31.4844172
الحاج خليل,Hag Khaleel,30.7332201,31.8451859
بطره,Batrah,31.1659466,31.4419081
ديسط,Daysat,31.1497127,31.4336171
الطويلة,Tawilah,30.6780396,30.944803
شرنقاش,Shirinqash,31.0952504,31.4048013
ميت عنتر,Mit Antar,31.0841945,31.3990103
سماد طلخا,Semad Talkha,31.054028,31.3772894
جمصة,Gamasa,31.2776877,31.6220239
ام الزين,Om Zein,30.6454412,31.39374339999999
النخاس,Naghas,30.6229264,31.4270402
الفردان,Ferdan,30.6868214,32.3355841
البلاح,Balah,30.77082699999999,32.3167852
ميت حبيش ق,Mit Hebeish Q,,
شبراقاص,Shobraqas,30.7425348,31.0708779
عبد الستار,Major Abd Satar,31.2188782,29.9425517
المنشأة الكبرى,Monshaah Kubra,30.7249929,31.1551797
السملاوية,Samlaweyah,,
نهطاي,Nahtay,30.7236959,31.1929569
كوم النور,Kom Nour,30.72983839999999,31.2930149
دنديط,Dandit,30.5872091,30.9844744
كفر الوزير,Kafr Wazir,30.6811661,31.3374435
ميت القرشي,Mit Qershi,30.6678976,31.3604861
ميت ابو العربي,Mit Abo Orabi,30.7270372,31.6684678
كفر الحلبي,Kafr Halaby,30.6357811,31.407929
كفر الاشراف,Kafr Ashraf,31.2081784,30.56789809999999
شيبة النكارية,Shibat Nakariyah,,
كفر الشناوي,Kafr Shennawy,31.1095836,30.9393033
منشية البدراوي,Manshyt Badrawy,31.1997385,31.3175506
بهوت,Buhut,31.1659466,31.4419081
كفر الجرايدة,Kafr Garaydah,31.3438281,31.2511908
الشبانات,Shabanat,30.5726405,31.5751107
صفط الحنة,Saft Hinnah,30.5610747,31.6048453
البعالوة ,Baalwh,30.5480366,31.8578792
المحسمة,Mahsmh,30.56206839999999,32.0135118
محمد البغدادي,mohamed Baghdady,30.5582379,32.0434351
ابو جريش,Abo Gresh,30.5536868,32.0795839
الواصفية,Wasfih,30.5800076,32.173758
نفيشة,Nafesha,30.5706383,32.235482
معسكر الجلاء,Galaa Camp,30.5844524,32.2541464
سرس الليان,Sirs Layyanah,30.4390852,30.9671759
كفر شبرا زنجي,Kafr Shobra Zanji,30.4454506,31.0012095
جروان,Jarawan,30.4340667,31.0144291
الباجور,Bagour,30.4338901,31.0372383
سبك الضحاك,Subk Dahhak,30.442502,31.0694261
ميت الواسطى,Mit Wusta,29.336633,31.2032207
اسطنها,Istanha,30.4558513,31.1806955
كفر بطا,Kafr Bata,30.4711269,31.153158
الكاب,Cap,30.947113,32.310634
الرسوة,Raswaa,30.7275545,31.79431829999999
عامر,Amer,31.2189328,29.9424796
الجناين,Ganayen,30.0618057,32.5522853
شلوفة,Shaloofh,30.1164716,32.5632979
كيلو 64,64 km,,
ابو حلب,Abo halab,30.1978248,32.5047439
كسفريت,kasfareet,30.2494489,32.4029108
فنارة,Fanara,30.2764878,32.3485461
قمة فايد,Kemt Fayed,30.3024502,32.319646
فايد ج,Fayed N,30.3315219,32.2937707
السعيدية,Saidia,35.0806358,-2.2146487
10 رمضان,10th of Ramadan,30.3032114,31.7403058
عين غصين,Ain Ghoseen,30.510275,32.2972625
الضبعية,Ad Dabiyyah,25.1991477,32.7008426
العجرود ج,Agrod N,30.0583893,32.4174263
جبل عوبيد,Jabal Obaid,30.1264632,32.2021307
جبل الجفرة,Jabal Jufra,,
وادي السيل,Wadi Sail,24.0998701,32.902257
الربيكي,Robaikey,30.1690622,31.7715434
بدر,Badr,30.1748915,31.7161444
الشروق,Shorouk,30.1815055,31.6233771
درب الحاج,Darb Haj,30.1713115,31.5418335
العبور,Obour,30.1584216,31.4648986
عدلي منصور,Adly Mansour,30.1470076,31.4212298
الدنابيق,Danabiq,31.051324,31.4431374
سلامون,Salamoun,31.0668345,31.4604037
شها,Shuha,31.0453964,31.3882888
محلة دمنة,Mahallat Damanah,31.0453964,31.3882888
ميت ضافر,Mit Dafer,31.0786928,31.5455953
الخشاشنة,Khashashnah,26.123184,32.4618088
دكرنس,Dikirnis,31.0784608,31.5991507
ميت شرف,Mit Sharaf,31.0809119,31.6229801
اشمون الرمان,Ashmoun Romman,30.29872199999999,30.979408
ميت الخولي,Mit Khouly,31.1970164,31.6311621
ميت حديد,Mit Hadid,31.1187009,31.6748607
ميت عاصم,Mit Asem,30.7188795,31.2605518
كفر علام,Kafr Allam,31.1388763,31.7203496
الرياض,Riyad,24.6505103,46.7405512
الكردي,kurdi,31.16379909999999,31.7733729
ميت سلسيل,Mit Salsil,31.1634548,31.80564519999999
ميت مرجا سلسيل,Mit Marga Selsil,31.1634548,31.80564519999999
الجمالية,Jamaliyah,31.1728926,31.8693329
ميت خضير,Mit Khodeir,31.1558277,31.89610849999999
المنزلة,Manzalah,31.14895809999999,31.932905
دار السلام,Dar Salam,29.9819337,31.2420924
عصافرة المنزلة,Asafrah Manzalah,31.2714171,30.0068955
المطرية,Matariyah,30.1213363,31.31372229999999
مصنع الغزل,Textile factory,30.0479989,31.2459007
بني أحمد,Beni Ahmed,,
منسافيس,Mansafis,28.0053168,30.8152471
ابيوها,Abyuha,27.9689405,30.8320942
اتليدم,Itlidim,27.8754569,30.8037186
المحرص,Mahras,27.8272818,30.79736249999999
معصرة ملوي,Massarat Malawi,27.7034993,30.8674779
تل العمارنة,Amarna,27.6445082,30.8986239
الجرف,Jarf,,
صنبو,Sanabo,27.499545,30.8114506
فزاره,Fazarah,27.4382322,30.83316659999999
بني قره,Beni Qorah,27.3873598,30.8936106
بني شقير,Beni Shakeir,27.3498392,30.9675551
الحواتكة,Hawatkah,27.2686786,31.0135396
نجع سبع,Nagaa Sabee,27.2287469,31.0629117
بني حسين,Beni Hussein,27.2287469,31.0629117
قمن العروس,Qamn Arous,29.2747723,31.1653117
شريف باشا,Shreef Basha,,
الفنت,Fant,30.4558513,31.1806955
ملاطية,Malatya,,
قلوصنا,Qulusna,28.3109027,30.7139744
تزمنت,Tezment,30.0092238,31.2079466
اولاد الياس,Awlad Ilyas,26.9338475,31.4033655
شطب,Shatb,27.1462969,31.236794
المطيعة,Mutiah,30.0092238,31.2079466
باقور,Baqur,27.0953802,31.2998534
النخيلة,Nekhaylah,27.0130098,31.3358312
مشطا,Mishta,26.8618453,31.4637092
شطورة,Shatourah,26.8290236,31.4849429
بنجا,Banja,26.8068275,31.4908598
الصوامعة,Sawamaah,26.7394125,31.5389219
السايح,Sayh,31.2189328,29.9424796
شندويل البلد,Shandawil B,,
جزيرة شندويل,Jazirat Shandawil,26.6203496,31.6407275
بلصفورة,Balasfurah,26.5213076,31.7406325
العيساوية,Isawiyyah,26.5135696,31.7737994
الأحايوه,Ahaywah,26.4333336,31.8057639
البندار,Bindar,26.123184,32.4618088
مزاتا غرب,Mzata west,26.5512725,31.69893759999999
الساحل ق,Sahel Q,31.2937154,27.3326693
بني حميل,Beni Hamil,26.0439572,32.2408883
سمهود,Samhud,26.1694439,32.0267624
رفاعة,Rufaa,30.4558513,31.1806955
بهجورة,Bahjurah,26.0439572,32.2408883
خزام,Khozam,25.7801778,32.762473
العيايشة,Ayshah,25.8225717,32.780298
الشنهورية,Shanhoria,25.8467025,32.7684848
